g5
0,0,0,0=21
0,0,0,3=4
0,0,1,0=17
0,0,1,2=11
0,0,1,3=13
0,0,1,4=1
0,0,2,0=6
0,0,2,2=22
0,0,2,3=10
0,0,2,4=5
0,0,4,0=2
0,1,0,0=7
0,1,0,2=24
0,1,0,4=23
0,1,1,3=5
0,1,1,4=14
0,1,2,1=16
0,1,3,4=15
0,1,4,3=8
0,1,4,4=3
0,2,0,0=3
0,2,0,1=14
0,2,0,2=10
0,2,1,0=0
0,2,1,1=20
0,2,1,2=7
0,2,1,3=23
0,2,2,0=2
0,2,2,4=17
0,2,3,1=1
0,2,3,3=21
0,2,3,4=16
0,2,4,1=15
0,2,4,4=13
0,3,0,0=15
0,3,0,4=6
0,3,1,2=16
0,3,2,1=21
0,3,2,3=20
0,3,2,4=14
0,3,3,0=18
0,3,3,1=23
0,3,3,2=2
0,3,4,2=12
0,3,4,3=9
0,3,4,4=3
0,4,0,0=8
0,4,1,3=9
0,4,2,2=18
0,4,3,0=5
0,4,3,1=7
0,4,3,4=12
0,4,4,1=14
0,4,4,3=10
0,4,4,4=16
1,0,0,4=6
1,0,1,1=13
1,0,1,2=2
1,0,1,3=23
1,0,1,4=16
1,0,2,2=19
1,0,3,2=0
1,0,3,3=14
1,0,4,0=24
1,0,4,2=20
1,0,4,4=15
1,1,0,0=5
1,1,0,3=19
1,1,2,4=21
1,1,3,0=18
1,1,3,4=16
1,1,4,0=22
1,1,4,3=1
1,1,4,4=0
1,2,0,1=13
1,2,0,3=12
1,2,0,4=22
1,2,1,2=0
1,2,1,4=24
1,2,2,1=16
1,2,2,2=6
1,2,2,3=4
1,2,3,0=17
1,2,3,4=9
1,2,4,4=21
1,3,0,1=11
1,3,0,2=8
1,3,0,3=2
1,3,1,0=9
1,3,1,4=21
1,3,2,0=5
1,3,2,1=13
1,3,2,2=10
1,3,3,0=6
1,3,4,0=17
1,3,4,1=18
1,3,4,2=3
1,3,4,4=23
1,4,0,1=10
1,4,0,2=14
1,4,0,3=0
1,4,1,2=5
1,4,1,3=17
1,4,2,0=9
1,4,2,1=23
1,4,2,4=3
1,4,3,0=22
1,4,3,2=2
1,4,3,4=4
1,4,4,3=6
1,4,4,4=19
2,0,0,0=9
2,0,0,1=10
2,0,0,2=24
2,0,1,0=23
2,0,1,3=6
2,0,2,2=17
2,0,3,1=18
2,0,3,3=15
2,1,0,0=15
2,1,0,2=11
2,1,1,2=21
2,1,2,0=9
2,1,2,1=8
2,1,2,2=19
2,1,2,3=0
2,1,4,1=5
2,1,4,2=18
2,1,4,3=12
2,2,0,3=20
2,2,0,4=23
2,2,1,1=12
2,2,1,4=18
2,2,2,0=7
2,2,3,0=1
2,2,3,3=19
2,2,4,1=8
2,3,0,1=17
2,3,0,2=0
2,3,1,2=11
2,3,2,1=24
2,3,2,2=21
2,3,2,3=23
2,3,2,4=12
2,3,3,0=3
2,3,3,2=4
2,3,4,2=7
2,4,0,1=6
2,4,1,1=24
2,4,1,3=20
2,4,2,2=1
2,4,3,1=8
2,4,3,2=10
2,4,3,4=9
2,4,4,0=17
2,4,4,3=14
3,0,0,0=12
3,0,0,1=23
3,0,1,0=15
3,0,1,2=9
3,0,1,4=22
3,0,2,3=21
3,0,2,4=3
3,0,3,1=0
3,0,3,2=8
3,0,4,2=1
3,0,4,3=17
3,1,0,0=1
3,1,0,2=2
3,1,0,3=6
3,1,0,4=9
3,1,1,4=11
3,1,2,2=7
3,1,3,0=21
3,1,3,4=12
3,1,4,1=15
3,1,4,2=10
3,1,4,3=20
3,2,0,0=22
3,2,1,0=20
3,2,1,4=12
3,2,2,1=9
3,2,2,2=5
3,2,2,3=1
3,2,3,2=17
3,2,4,0=21
3,2,4,1=4
3,2,4,3=11
3,3,0,1=4
3,3,0,4=19
3,3,1,0=23
3,3,1,4=10
3,3,2,0=22
3,3,4,0=14
3,3,4,1=0
3,3,4,4=9
3,4,0,0=11
3,4,0,2=16
3,4,0,4=14
3,4,1,1=19
3,4,1,2=17
3,4,2,2=8
3,4,3,0=3
3,4,3,1=9
3,4,3,2=20
3,4,4,0=2
4,0,0,0=4
4,0,0,1=7
4,0,0,2=12
4,0,1,0=13
4,0,1,4=17
4,0,2,2=14
4,0,3,1=3
4,0,4,4=23
4,1,0,0=20
4,1,0,1=6
4,1,1,2=12
4,1,1,3=23
4,1,1,4=2
4,1,2,0=24
4,1,2,3=11
4,1,3,2=4
4,1,4,0=19
4,1,4,4=22
4,2,0,0=15
4,2,0,3=0
4,2,1,0=16
4,2,1,1=18
4,2,1,3=9
4,2,2,0=8
4,2,2,4=10
4,2,3,1=21
4,2,3,3=17
4,2,3,4=2
4,2,4,2=11
4,2,4,3=7
4,2,4,4=1
4,3,0,0=1
4,3,0,1=22
4,3,1,0=24
4,3,2,3=18
4,3,3,0=12
4,3,3,1=10
4,3,4,0=4
4,3,4,2=17
4,4,0,4=2
4,4,2,0=4
4,4,2,1=0
4,4,2,2=13
4,4,2,4=22
4,4,3,0=23
4,4,3,1=18
4,4,3,2=19
4,4,3,4=24
4,4,4,1=20
4,4,4,4=6
